客户ID,年龄,性别,城市,职业,资产总额(AUM),存款,理财,基金,保险,信托,月均交易次数,月均交易金额,客户等级,持有产品数,持有产品,近12月资产,是否高价值客户
C10029,58,女,广州,企业主,4185343.03,1003081.63,1096073.33,766153.08,506360.26,551446.87,13,447491.52,金卡客户,5,存款|理财产品|基金|保险|信托,"3060985.04,3052475.06,3269598.3,3280765.38,3738563.56,3644934.27,3740486.04,4225700.39,3921361.01,4547094.42,4426726.12,5164197.61",0
C10030,41,男,杭州,白领,2712337.3,438214.37,509288.56,600767.62,250564.3,126372.93,15,330443.11,金卡客户,5,存款|理财产品|基金|保险|信托,"2068703.03,2041943.89,2281666.07,2324520.17,2119779.6,2160805.7,2206209.81,2118374.68,2196579.5,2218310.55,2276277.6,2389952.33",0
C10031,48,男,南京,高管,5692674.1,2166951.74,798229.34,872987.78,142630.47,1128479.99,3,241563.15,白金客户,5,存款|理财产品|基金|保险|信托,"4519183.26,4508457.29,4482473.68,4652088.75,4658352.0,4436934.81,4392808.28,4509141.56,4387068.69,4491380.93,4430265.17,4237175.74",1
C10032,68,男,重庆,专业人士,13686351.54,1304722.94,3649115.6,3269845.59,1769907.25,2215864.32,14,303537.91,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"12555706.14,12483817.67,12330593.76,12053291.27,12738421.88,13324289.37,13352378.78,13734949.99,13464802.06,13569228.34,14174454.9,14339228.4",1
C10033,49,女,重庆,自由职业,6642522.11,1953665.47,1355355.03,1027284.94,749990.54,210707.58,12,885593.71,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"4426920.9,4237266.34,4365626.88,4716279.75,4439417.81,4415747.27,4053345.69,4634176.56,4622450.57,5045401.55,4397298.71,4554287.08",1
C10034,48,女,广州,退休,16358111.85,6154082.59,503059.68,3832822.11,1687876.74,221937.24,21,317823.13,钻石客户,6,存款|理财产品|基金|保险|信托|外汇,"9302847.81,10819070.34,10545114.12,11306595.08,10269485.86,12943801.01,13725869.6,12055676.83,13628308.25,13549579.89,14976641.31,16249696.06",1
C10035,59,男,北京,白领,554422.7,212234.26,25124.98,59924.06,78474.31,0.0,17,38123.12,银卡客户,4,存款|理财产品|基金|保险,"522444.56,528880.89,563411.66,556121.32,608192.63,561405.73,600309.62,583959.87,600962.68,586087.73,628736.65,634525.24",0
C10036,51,女,北京,企业主,15008678.74,3989721.2,3586491.69,1806753.57,264096.14,375774.67,3,571432.36,钻石客户,6,存款|理财产品|基金|保险|信托|外汇,"11226885.68,10907316.05,11386198.7,11744717.1,11994049.92,13496928.76,12950620.93,13932538.16,13706049.58,14704180.77,15262490.36,15634060.89",1
C10037,36,男,上海,自由职业,2157225.18,574586.65,454612.54,301822.06,3161.69,140850.11,2,177927.13,金卡客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"1409375.39,1389582.13,1368421.57,1409244.33,1441821.78,1440285.89,1428580.19,1421123.33,1467663.76,1470938.92,1495491.93,1500118.39",0
C10038,60,男,重庆,退休,834488.46,280433.37,113236.32,134264.54,65891.54,0.0,5,15395.72,银卡客户,5,存款|理财产品|基金|保险|外汇,"577807.76,611665.54,619596.27,660650.42,734344.61,759834.07,770049.34,799168.22,839321.94,889268.76,900123.72,959312.54",0
C10039,19,女,南京,白领,169339.12,30457.94,50174.31,1698.01,22023.35,0.0,2,15412.33,普通客户,4,存款|理财产品|基金|保险,"164909.91,157670.53,184286.15,191202.86,186313.54,200994.54,210163.01,217592.59,221735.89,230661.14,244879.42,263041.57",0
C10040,53,男,杭州,专业人士,1626890.03,418977.54,79810.61,159061.66,236569.09,83990.94,2,192438.7,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"1158443.56,1061165.59,1102713.1,1073732.37,1094595.43,1064331.38,998302.61,996647.85,1015133.38,1008314.27,1002927.91,988280.58",0
C10041,43,女,成都,自由职业,1727335.41,249448.59,29582.44,229376.98,242674.83,13591.9,6,46802.82,金卡客户,5,存款|理财产品|基金|保险|信托,"1412771.63,1372960.89,1368083.0,1235094.14,1353502.39,1268395.73,1281925.98,1199827.06,1225540.88,1157789.49,1149640.13,1201434.98",0
C10042,42,女,重庆,自由职业,3027729.66,875428.1,451593.23,467668.6,394621.41,345530.41,22,121698.14,金卡客户,5,存款|理财产品|基金|保险|信托,"2130408.37,2152795.21,2009156.49,2154771.23,2379814.44,2300515.7,2325661.89,2067369.72,2244900.33,2615307.96,2604985.37,2694105.9",0
C10043,54,男,武汉,企业主,4113908.44,733351.64,488945.45,715272.1,239773.87,369176.9,7,177951.96,金卡客户,7,存款|理财产品|基金|保险|信托|外汇|国债,"3045920.68,3427877.89,3660118.72,3954909.68,3763319.25,3946550.78,3842334.46,3881471.81,4543087.27,4053668.7,4938282.25,4762806.3",0
C10044,55,女,苏州,企业主,9150274.45,481734.56,1777371.4,2054306.5,334189.48,1696524.1,3,713923.14,白金客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"8354111.94,8984737.13,8938246.89,8724296.15,8618388.38,9168088.46,9324692.84,9273823.57,9850356.12,10369688.0,10109586.4,10271323.7",1
C10045,30,男,苏州,公务员,2075169.53,135289.4,394168.93,493580.81,187266.98,339991.15,28,277634.66,金卡客户,5,存款|理财产品|基金|保险|信托,"1442242.31,1567576.33,1628542.4,1881766.9,1812952.33,2063247.8,1915195.84,2102811.06,2054084.39,2482660.43,2183391.31,2446823.34",0
C10046,54,男,北京,企业主,10313115.83,2707016.68,1691446.12,598024.32,604718.82,1226180.66,10,300127.81,钻石客户,5,存款|理财产品|基金|保险|信托,"9146623.69,9821814.22,10859082.5,9676608.64,10087437.52,10104245.48,10089424.0,10663086.98,10562745.98,11802421.8,11553790.84,12627635.6",1
C10047,21,女,成都,退休,388377.29,110423.6,115830.35,64260.83,32494.56,0.0,2,43611.3,银卡客户,5,存款|理财产品|基金|保险|外汇,"385564.1,347376.02,373439.77,352890.31,353755.26,394780.47,388719.26,375170.13,334503.15,349000.58,380293.68,353715.57",0
C10048,79,男,武汉,企业主,6965415.25,2254773.39,1481010.34,62968.02,316712.23,366537.66,3,983336.2,白金客户,5,存款|理财产品|基金|保险|信托,"5365488.06,5543292.2,5876725.02,5812402.04,5894869.63,6279930.13,6110837.14,6386596.71,6539474.82,6434306.01,6994993.57,6851850.55",1
C10049,33,男,南京,专业人士,2205589.49,745198.54,87688.51,475312.52,305283.53,214851.73,8,209256.21,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1705455.68,1661961.15,1534684.51,1587837.95,1437814.11,1612506.0,1596352.43,1516518.34,1581061.57,1456879.72,1460831.14,1528827.44",0
C10050,34,女,北京,白领,1953859.52,770382.63,140197.3,69483.82,35575.37,118511.41,9,36577.91,金卡客户,5,存款|理财产品|基金|保险|信托,"1597421.61,1428908.32,1740794.32,1538996.47,1642721.33,1561232.73,1507562.13,1717889.29,1739605.6,1623498.52,1447160.22,1631002.9",0
C10051,50,男,上海,企业主,1759313.55,367752.95,445646.66,43139.5,128845.39,52796.53,7,97562.08,金卡客户,5,存款|理财产品|基金|保险|信托,"1275254.56,1439452.16,1313373.25,1540543.34,1457940.16,1374004.12,1620283.24,1398459.59,1532814.51,1512330.69,1617211.73,1658002.33",0
C10052,45,男,南京,退休,973136.24,280340.82,12166.02,20628.55,104562.04,0.0,3,50131.1,银卡客户,4,存款|理财产品|基金|保险,"670357.95,663980.3,653725.09,651749.79,627326.62,614993.31,642447.79,617352.6,613297.6,625976.78,612649.7,606800.04",0
C10053,77,男,苏州,白领,9098306.7,2837085.06,2215719.15,1493210.93,174818.16,615532.3,44,1273141.61,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"6798543.69,7041957.6,7498089.92,7466037.87,7008127.28,8394216.82,8248596.21,8413288.98,8909446.35,8217316.08,9503278.12,8979707.81",1
C10054,58,女,上海,退休,6214762.86,2452559.27,1747693.36,67078.63,153642.75,163732.62,16,247916.78,白金客户,5,存款|理财产品|基金|保险|信托,"5210552.36,5315942.03,4888146.75,5582905.58,5612106.14,5940173.28,5917786.99,5852822.5,5727019.6,6090149.01,6072588.85,6268764.87",1
C10055,53,女,南京,退休,1368667.41,443895.97,227565.53,1789.4,156231.49,9665.9,2,156579.29,金卡客户,5,存款|理财产品|基金|保险|信托,"974526.64,924853.7,999612.51,982355.44,909072.66,998948.62,996848.99,911446.79,962695.69,899207.52,914100.49,873471.8",0
C10056,78,男,杭州,退休,1111961.11,273799.33,201316.44,188051.51,134267.47,60006.03,7,23115.62,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"1041491.89,964706.03,1043506.54,1056812.29,1042992.7,1163632.06,1202954.89,1319693.13,1323683.72,1294179.25,1471974.46,1492106.2",0
C10057,53,男,深圳,白领,10695007.86,2734919.67,591892.49,968527.72,536640.13,56034.8,1,143172.43,钻石客户,6,存款|理财产品|基金|保险|信托|外汇,"7918713.17,8005519.59,8336822.34,8889635.06,9164566.72,9929470.97,9828941.6,10520178.36,11058758.29,11437196.62,11425328.85,12564787.17",1
C10058,58,男,成都,企业主,17204760.23,4816202.59,4937497.56,296601.53,147241.92,970992.19,3,2354912.59,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|外汇,"13256205.73,13776205.55,14353372.04,14869408.84,15138704.12,15543054.74,16233095.45,17047030.65,17600029.49,18324644.08,18831284.73,19437513.83",1
C10059,35,男,南京,自由职业,5542168.36,661370.07,939946.63,642797.99,808052.58,674512.12,2,326604.93,白金客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"3687323.98,4046953.78,4276753.26,4493186.59,4566774.91,4642053.57,4740281.26,5108793.94,5088568.88,4944124.93,5804132.77,6119757.24",1
C10060,18,女,杭州,企业主,1071328.87,355939.66,147599.08,13915.65,126354.38,43145.37,3,60240.94,金卡客户,5,存款|理财产品|基金|保险|信托,"982077.52,1040240.7,992457.46,1215246.79,1193648.15,1236083.18,1531875.57,1376738.39,1357132.4,1439333.0,1614285.51,1603112.15",0
C10061,23,男,武汉,退休,6600337.42,1244755.43,1811970.97,879542.59,156383.27,918633.8,12,799014.33,白金客户,5,存款|理财产品|基金|保险|信托,"4640376.49,4872395.73,5188513.32,5483706.34,5658668.86,5846245.8,6176903.84,6569455.61,6888292.59,7228520.14,7606589.91,7927771.72",1
C10062,48,女,成都,高管,6589711.39,1315447.35,320721.4,20769.98,553294.26,695082.26,13,139154.42,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"6231711.44,6111083.18,5619278.58,6385729.96,7037933.04,6645079.51,5979904.21,6737059.81,7404890.98,7367514.57,6989676.9,7220193.58",1
C10063,38,男,深圳,白领,9585113.18,1661399.47,2419611.01,1129335.21,1407724.75,1215664.83,33,265287.79,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"6264881.54,5771605.98,6291588.77,5312871.54,5886641.79,6603874.78,5322500.18,5413645.25,5870728.94,5686217.32,5714643.47,5729739.13",1
C10064,54,男,苏州,白领,9651705.14,2375807.96,321371.29,1078712.07,666486.34,1668902.61,1,1416407.48,白金客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"8864489.38,8918932.22,9622219.3,9897669.76,10364548.92,10966092.93,11079107.76,11879136.68,12129769.83,12856924.51,13169970.06,13692440.92",1
C10065,46,男,北京,公务员,6332406.51,975401.05,569762.92,1176550.36,45729.0,1143499.63,1,818887.45,白金客户,5,存款|理财产品|基金|保险|信托,"4276882.45,4339854.15,4040253.67,4113443.93,4138497.4,4026046.12,3933015.86,3969127.7,3490091.92,3821436.63,3615064.97,3427232.69",1
C10066,52,女,深圳,退休,13132514.83,3558355.27,2331141.53,2306837.11,467714.78,1345724.98,5,1027926.45,钻石客户,5,存款|理财产品|基金|保险|信托,"11245101.7,11899922.35,12034158.24,12058172.94,11115314.97,12582766.53,11594879.31,13409568.24,12527509.5,12954795.69,13307822.64,13817624.3",1
C10067,45,男,上海,企业主,4483960.08,1121963.15,689634.49,328998.04,626691.97,356039.92,3,99512.47,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"3536446.72,3644064.17,3682243.09,3766002.44,4364776.9,4376641.44,4711074.8,5021836.84,5120743.29,5090851.75,5414385.46,5514634.95",0
C10068,34,男,深圳,专业人士,3178384.98,293551.66,399473.21,596883.26,33853.45,50968.59,12,329281.23,金卡客户,5,存款|理财产品|基金|保险|信托,"1896021.77,2102287.9,2055998.69,1977742.99,2166623.02,2004853.56,2235756.18,2270088.51,2301058.72,2369516.1,2179216.39,2428439.3",0
C10069,46,男,杭州,专业人士,6768652.77,2341693.45,1406173.05,727513.54,683261.61,372791.91,26,357952.69,白金客户,5,存款|理财产品|基金|保险|信托,"5439458.75,6216309.37,5945308.39,7619790.29,8096191.96,8014773.54,7497332.95,8967162.17,8489223.83,8385525.02,8860472.5,9482293.37",1
C10070,45,女,广州,企业主,4187269.25,665466.47,850585.93,634140.21,228997.82,182474.96,7,445351.23,金卡客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"3393671.68,3382349.75,3640661.04,3636954.35,3999799.54,4224217.15,4465293.95,4677277.06,4980280.44,4908605.26,5157347.9,5660712.15",0
C10071,18,男,杭州,退休,3411005.83,696372.1,309378.14,221148.21,99579.46,39327.25,12,197642.95,金卡客户,5,存款|理财产品|基金|保险|信托,"2623641.2,2526681.31,2499594.63,2665447.8,2789756.09,2888851.97,2787807.57,2932493.01,2944616.11,3023732.19,3223090.96,3080495.26",0
C10072,48,男,重庆,企业主,11599677.21,1086742.26,2763776.2,799703.69,1526095.14,2190116.71,6,1709075.94,钻石客户,5,存款|理财产品|基金|保险|信托,"8454113.27,8575768.95,8991096.44,8251227.73,9362876.22,8924110.12,8748599.23,8690012.65,8761819.28,8811517.89,8837718.19,8818870.89",1
C10073,46,男,北京,自由职业,9822908.7,3561605.68,184054.57,2169548.43,660569.57,1002786.35,6,959923.63,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"8389844.43,8483331.67,9705598.28,9141932.26,9247389.04,9649769.77,10030036.58,11044912.62,11197901.45,11633362.65,11830293.38,11675380.37",1
C10074,55,女,重庆,退休,10568775.53,856193.94,1546088.66,205164.6,646084.62,860523.42,6,269923.71,钻石客户,6,存款|理财产品|基金|保险|信托|国债,"10202737.34,10551500.08,10463413.62,11115799.83,11386053.37,10751749.62,11210143.91,11398014.26,11536208.26,12301230.58,12171844.81,12351969.63",1
C10075,18,男,成都,自由职业,218240.73,60395.09,8047.89,48485.4,16469.01,0.0,24,15911.71,普通客户,5,存款|理财产品|基金|保险|国债,"195978.03,195726.77,201483.96,220324.26,192693.7,181816.26,186765.19,166267.83,177973.71,180665.72,178785.72,185949.57",0
C10076,32,男,杭州,企业主,15028243.23,4470027.28,282634.46,3153445.75,8611.01,741865.83,3,364659.34,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|外汇,"11789269.97,11956367.06,11573589.91,12401841.45,12438054.88,13170071.42,12956985.14,11964173.63,14272967.6,16008806.62,16141119.63,16714871.12",1
C10077,63,女,武汉,自由职业,447034.94,38837.38,104850.78,71989.3,3231.12,0.0,21,27004.07,银卡客户,4,存款|理财产品|基金|保险,"343694.2,346328.81,340626.99,362653.8,346689.66,344517.81,346718.3,322819.79,348308.71,332529.82,340090.94,316465.78",0
C10078,21,男,成都,白领,4232587.38,679201.48,818793.1,418106.52,452806.57,168639.21,5,260261.96,金卡客户,7,存款|理财产品|基金|保险|信托|贵金属|外汇,"3012503.76,3057420.54,3189939.62,3344364.46,3393449.55,3640193.88,3674047.05,3895480.75,4048540.49,4221586.36,4364231.08,4600209.99",0
C10079,48,男,武汉,白领,4170145.23,391754.18,21202.27,802917.9,504893.37,100256.32,7,196754.11,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"3386052.96,3386944.23,3416554.81,3439943.86,3398192.36,3620861.92,3261122.76,3369866.54,3472957.39,3301457.42,3494661.02,3732793.38",0
C10080,45,女,北京,专业人士,3169935.85,408552.25,186233.49,111584.08,295951.7,495348.03,2,391668.8,金卡客户,5,存款|理财产品|基金|保险|信托,"2272343.42,2197247.47,1946082.23,2314172.29,2371589.93,2097970.38,2262033.65,2303639.14,2403756.88,2317167.7,2056812.16,2248092.93",0
C10081,48,男,武汉,公务员,173347.97,11330.89,8619.72,19308.43,5439.28,0.0,34,2946.41,普通客户,4,存款|理财产品|基金|保险,"163814.18,166893.39,156869.18,141325.08,152185.33,162706.35,162286.0,160265.38,166172.18,151440.6,158617.36,165008.74",0
C10082,43,女,上海,退休,530169.7,150202.47,25877.54,74897.78,61363.98,0.0,5,5972.57,银卡客户,4,存款|理财产品|基金|保险,"452619.55,457524.87,459116.58,444343.88,431770.53,442347.11,433504.42,426984.79,441738.0,423646.84,409812.43,411155.03",0
C10083,20,女,苏州,自由职业,168890.95,54998.02,12717.56,23816.75,9084.1,0.0,20,17214.78,普通客户,4,存款|理财产品|基金|保险,"108801.37,109358.53,107330.95,118758.87,116554.37,124072.22,116397.64,123083.47,124448.29,123386.34,129988.99,126928.67",0
C10084,39,男,成都,高管,69828.03,24388.18,4337.91,1242.21,722.8,0.0,7,4700.66,普通客户,4,存款|理财产品|基金|保险,"63697.71,57268.72,66598.27,66006.16,69753.23,73600.88,73205.57,75104.93,80163.47,79047.65,81864.8,90810.43",0
C10085,27,女,重庆,公务员,443343.38,132744.75,108634.13,20129.34,24668.14,0.0,2,60415.12,银卡客户,4,存款|理财产品|基金|保险,"337346.06,327630.52,334530.6,367566.14,373234.04,399606.59,393380.09,360829.65,417407.39,387163.65,407431.42,428263.57",0
C10086,74,男,苏州,白领,66237592.08,19475394.33,14194582.89,7645741.4,9150668.91,9201665.71,14,3203913.82,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"50068955.1,54593585.64,56656107.13,58214903.59,59077119.28,53492381.66,64362375.05,69296146.35,69217197.23,72057435.08,83008148.04,81675882.14",1
C10087,51,男,南京,白领,4582196.67,311974.52,693921.81,823024.32,592918.24,164276.89,7,559030.23,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"4430559.62,4242473.32,4403292.08,4304168.7,4275375.93,3956248.52,4273103.64,4105589.83,3982387.43,4016548.34,3716924.73,3981438.97",0
C10088,29,女,广州,白领,312904.12,59947.61,6416.4,61310.42,13412.24,0.0,45,17692.81,银卡客户,5,存款|理财产品|基金|保险|贵金属,"258500.64,270068.81,263448.37,284356.78,301997.47,292246.55,300612.88,328028.63,331043.48,341186.62,338877.61,356007.57",0
C10089,31,女,南京,公务员,532676.65,75904.66,32812.82,64325.99,21456.25,0.0,1,26764.14,银卡客户,4,存款|理财产品|基金|保险,"321937.55,324073.78,369267.43,355898.81,283221.68,333368.19,328306.83,273346.99,319519.45,333639.23,260838.33,261854.03",0
